TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
6;true;false;1;0;
9;false;true;0;0;REQ001
12;true;false;0;0;
14;false;true;0;0;
16;false;true;0;0;
18;true;false;0;0;
20;true;false;0;0;
23;true;false;0;0;
26;true;false;0;0;
29;true;true;0;0;
32;true;false;0;0;
34;false;true;0;0;
37;true;false;0;0;
40;true;true;0;0;
43;false;false;0;0;
46;true;true;0;0;
49;true;false;0;0;
52;true;false;0;0;
55;true;true;0;0;
57;true;false;0;0;
60;false;false;0;0;
62;false;true;0;0;
64;true;true;0;0;
67;false;false;0;0;
69;false;false;0;0;
72;false;false;0;0;
75;false;true;0;0;
78;true;true;0;0;
81;false;false;0;0;
83;false;true;0;0;
86;false;true;0;0;
